source,target,edge
DavidAU/L3-Dark-Planet-8B,DavidAU/L3-Dark-Planet-8B-GGUF,quantized
DavidAU/L3-Dark-Planet-8B,DavidAU/L3-Dark-Planet-Horror-City-8B-NEO-Imatrix-GGUF,quantized
DavidAU/L3-Dark-Planet-8B,DavidAU/L3-Dark-Planet-8B-NEO-Imatrix-GGUF,quantized
Magpie-Align/Llama-3-8B-Magpie-Align-SFT-v0.3,Magpie-Align/Llama-3-8B-Magpie-Align-v0.3,finetuned
prithivMLmods/Llama-SmolTalk-3.2-1B-Instruct,bartowski/Llama-SmolTalk-3.2-1B-Instruct-GGUF,quantized
WhiteRabbitNeo/WhiteRabbitNeo-V3-7B,bartowski/WhiteRabbitNeo_WhiteRabbitNeo-V3-7B-GGUF,quantized
Vikhrmodels/QVikhr-2.5-1.5B-Instruct-SMPO,Vikhrmodels/QVikhr-2.5-1.5B-Instruct-SMPO_MLX-8bit,quantized
DavidAU/Llama-3.1-Dark-Planet-8B-SuperNova,DavidAU/Llama-3.1-Dark-Planet-SuperNova-8B-GGUF,quantized
bunnycore/FuseChat-3.2-1B-Creative-RP,Novaciano/SEX_ROLEPLAY-3.2-1B,merged
bunnycore/FuseChat-3.2-1B-Creative-RP,Novaciano/SEX_ROLEPLAY-3.2-1B-Q4_K_M-GGUF,merged
MaziyarPanahi/Llama-3-8B-Instruct-v0.9,MaziyarPanahi/Llama-3-8B-Instruct-v0.10,finetuned
dreamgen/lucid-v1-nemo,bartowski/dreamgen_lucid-v1-nemo-GGUF,quantized
NeverSleep/Lumimaid-v0.2-12B,FallenMerick/MN-Violet-Lotus-12B,merged
NeverSleep/Lumimaid-v0.2-12B,yamatazen/Aurora-SCE-12B,merged
unsloth/gemma-3-27b-it-unsloth-bnb-4bit,putazon/gemma-3-27b-cpt-orpo-aug-vllm,finetuned
nvidia/AceInstruct-1.5B,bartowski/nvidia_AceInstruct-1.5B-GGUF,quantized
