id,type,owner,architecture
gaianet/Qwen2.5-Coder-3B-Instruct-GGUF,quantized,gaianet,qwen2
DavidAU/L3-Dark-Planet-8B,base,DavidAU,unknown
Magpie-Align/Llama-3-8B-Magpie-Align-SFT-v0.3,finetuned,Magpie-Align,llama
bartowski/Hermes-2-Pro-Llama-3-8B-GGUF,quantized,bartowski,unknown
tensorblock/Uncensored_llama_3.2_3b_safetensors-GGUF,quantized,tensorblock,unknown
LeroyDyer/Mixtral_AI_llava_4bit,quantized,LeroyDyer,llava
DavidAU/Gemma-The-Writer-Mighty-Sword-9B-GGUF,quantized,DavidAU,unknown
purewhite42/rautoformalizer_nora_deepseek,finetuned,purewhite42,llama
legraphista/Qwen2-1.5B-IMat-GGUF,quantized,legraphista,unknown
ModelCloud/Llama-3.2-1B-Instruct-gptqmodel-4bit-vortex-v1,quantized,ModelCloud,llama
prithivMLmods/Llama-SmolTalk-3.2-1B-Instruct,finetuned,prithivMLmods,llama
WhiteRabbitNeo/WhiteRabbitNeo-V3-7B,finetuned,WhiteRabbitNeo,qwen2
DavidAU/L3-Darker-Planet-12.15B-GGUF,quantized,DavidAU,unknown
Vikhrmodels/QVikhr-2.5-1.5B-Instruct-SMPO,finetuned,Vikhrmodels,qwen2
RedHatAI/Meta-Llama-3.1-70B-Instruct-quantized.w8a8,quantized,RedHatAI,llama
DavidAU/Llama-3.1-Dark-Planet-8B-SuperNova,base,DavidAU,unknown
TheBloke/SynthIA-7B-v2.0-GGUF,quantized,TheBloke,mistral
Saxo/Linkbricks-Horizon-AI-Korean-Superb-22B,finetuned,Saxo,mistral
bunnycore/FuseChat-3.2-1B-Creative-RP,base,bunnycore,unknown
MaziyarPanahi/Llama-3-8B-Instruct-v0.9,finetuned,MaziyarPanahi,llama
QuantFactory/Meta-Llama-3-70B-Instruct-GGUF-v2,quantized,QuantFactory,unknown
dreamgen/lucid-v1-nemo,finetuned,dreamgen,mistral
abhi9ab/DeepSeek-R1-Distill-Llama-8B-finance-v1,finetuned,abhi9ab,llama
lmstudio-community/GLM-4-32B-0414-GGUF,quantized,lmstudio-community,unknown
eaddario/DeepSeek-R1-Distill-Llama-8B-GGUF,quantized,eaddario,unknown
legraphista/Hermes-2-Theta-Llama-3-8B-IMat-GGUF,quantized,legraphista,unknown
unsloth/SmolLM2-360M,finetuned,unsloth,llama
seedgularity/NazareAI-Senior-Marketing-Strategist,quantized,seedgularity,llama
dnotitia/Smoothie-Qwen2.5-3B-Instruct,finetuned,dnotitia,qwen2
bartowski/QwQ-32B-Preview-IdeaWhiz-v1-GGUF,quantized,bartowski,unknown
tastypear/CausalLM-7B-DPO-alpha-GGUF,quantized,tastypear,llama
unsloth/phi-4-unsloth-bnb-4bit,quantized,unsloth,llama
NeverSleep/Lumimaid-v0.2-12B,base,NeverSleep,unknown
ValiantLabs/Llama3.1-8B-Fireplace2,finetuned,ValiantLabs,llama
QuantFactory/INTELLECT-1-Instruct-GGUF,quantized,QuantFactory,unknown
unsloth/gemma-3-27b-it-unsloth-bnb-4bit,base,unsloth,unknown
ricepaper/vi-gemma-2b-RAG,finetuned,ricepaper,gemma
nvidia/AceInstruct-1.5B,base,nvidia,qwen2
nvidia/OpenMath2-Llama3.1-8B,finetuned,nvidia,llama
eryk-mazus/polka-1.1b,finetuned,eryk-mazus,llama
Qwen/Qwen2.5-0.5B-Instruct,finetuned,Qwen,qwen2
abhinand/tamil-llama-7b-instruct-v0.2,finetuned,abhinand,llama
bartowski/Llama-3.1-Tulu-3-8B-GGUF,quantized,bartowski,unknown
infly/OpenCoder-8B-Instruct,finetuned,infly,llama
abhinand/gemma-2b-tamil,base,abhinand,unknown
LingoIITGN/ganga-1b,base,LingoIITGN,unknown
01-ai/Yi-34B,base,01-ai,unknown
cognitivecomputations/dolphin-2.9.2-mixtral-8x22b,finetuned,cognitivecomputations,mixtral
Locutusque/TinyMistral-248M,base,Locutusque,mistral
Mawdistical/Squelching-Fantasies-qw3-32B,base,Mawdistical,unknown
unsloth/Qwen3-0.6B-Base,base,unsloth,unknown
Mungert/Qwen2.5-0.5B-Instruct-GGUF,quantized,Mungert,unknown
mav23/Qwen2.5-Coder-1.5B-Instruct-GGUF,quantized,mav23,unknown
Qwen/Qwen2.5-7B-Instruct-GGUF,quantized,Qwen,unknown
cognitivecomputations/dolphin-2.9-llama3-8b,base,cognitivecomputations,unknown
anthracite-org/magnum-v2-12b-gguf,quantized,anthracite-org,unknown
Goekdeniz-Guelmez/Josiefied-Qwen2.5-14B-Instruct-abliterated-v4,base,Goekdeniz-Guelmez,unknown
mlx-community/meta-llama-Llama-4-Scout-17B-16E-4bit,quantized,mlx-community,llama4
figmtu/opt-350m-aac,finetuned,figmtu,opt
MaziyarPanahi/calme-2.3-qwen2-7b,finetuned,MaziyarPanahi,qwen2
bartowski/SILMA-9B-Instruct-v1.0-GGUF,quantized,bartowski,unknown
unsloth/Qwen2.5-Coder-3B-Instruct,finetuned,unsloth,qwen2
unsloth/GLM-4-32B-0414-GGUF,quantized,unsloth,glm4
Novaciano/SENTIMENTAL_SEX-3.2-1B,base,Novaciano,unknown
Casual-Autopsy/The-True-Abomination-24B-imat-GGUF,quantized,Casual-Autopsy,unknown
ethzanalytics/ai-msgbot-gpt2-XL-dialogue,base,ethzanalytics,unknown
CombinHorizon/YiSM-blossom5.1-34B-SLERP,merged,CombinHorizon,llama
aifeifei798/DarkIdol-Llama-3.1-8B-Instruct-1.2-Uncensored,base,aifeifei798,llama
TheBloke/MythoMax-L2-13B-GPTQ,quantized,TheBloke,llama
recursechat/DeepSeek-R1-Distill-Llama-8B-GGUF,quantized,recursechat,llama
bartowski/Llama-3.1-Hawkish-8B-GGUF,quantized,bartowski,unknown
CISCai/gorilla-openfunctions-v2-SOTA-GGUF,quantized,CISCai,unknown
tensorblock/DarkIdol-Llama-3.1-8B-Instruct-1.2-Uncensored-GGUF,quantized,tensorblock,unknown
MLP-KTLim/llama-3-Korean-Bllossom-8B,finetuned,MLP-KTLim,llama
rednote-hilab/dots.llm1.base,base,rednote-hilab,dots1
NightForger/saiga_nemo_12b-GGUF,quantized,NightForger,unknown
ibnzterrell/Meta-Llama-3.3-70B-Instruct-AWQ-INT4,quantized,ibnzterrell,llama
medalpaca/medalpaca-13b,base,medalpaca,llama
allura-org/Qwen2.5-32b-RP-Ink,base,allura-org,unknown
aiplanet/LuxLlama,quantized,aiplanet,llama
UCLA-AGI/Gemma-2-9B-It-SPPO-Iter3,base,UCLA-AGI,gemma2
PatronusAI/Llama-3-Patronus-Lynx-70B-Instruct,base,PatronusAI,unknown
